fra;week;pop;P;tx_std
FR;2020-S21;67114995;4627;6.89413744275776
FR;2020-S22;67114995;3934;5.86158130534019
FR;2020-S23;67114995;3152;4.69641694825426
FR;2020-S24;67114995;2981;4.44163036889148
FR;2020-S25;67114995;3146;4.68747706827662
FR;2020-S26;67114995;3526;5.25366946686057
FR;2020-S27;67114995;3717;5.53825564614882
FR;2020-S28;67114995;3946;5.87946106529547
FR;2020-S29;67114995;4451;6.63190096341362
FR;2020-S30;67114995;6587;9.81449823545394
FR;2020-S31;67114995;8451;12.5918209485079
FR;2020-S32;67114995;11857;17.6666928158156
FR;2020-S33;67114995;17285;25.7543042355885
FR;2020-S34;67114995;28074;41.8296984153839
FR;2020-S35;67114995;39689;59.1358160721013
FR;2020-S36;67114995;52572;78.3312283640936
FR;2020-S37;67114995;64339;95.8638229802446
FR;2020-S38;67114995;75418;112.371311358959
FR;2020-S39;67114995;73825;109.997773224896
FR;2020-S40;67114995;79571;118.559198283483
FR;2020-S41;67114995;122485;182.500199843567
FR;2020-S42;67114995;174074;259.366777871324
FR;2020-S43;67114995;274495;408.992059077111
FR;2020-S44;67114995;333991;497.639908935403
FR;2020-S45;67114995;292404;435.676110830374
FR;2020-S46;67114995;168930;251.702320770493
FR;2020-S47;67114995;111063;165.48164832613
FR;2020-S48;67114995;76503;113.987939654916
FR;2020-S49;67114995;72418;107.901371370139
FR;2020-S50;67114995;79941;119.110490882105
FR;2020-S51;67114995;98515;146.78537933289
FR;2020-S52;67114995;82674;123.18260621192
FR;2020-S53;67114995;96993;144.517629778561
FR;2021-S01;67114995;126616;188.655307208173
FR;2021-S02;67114995;128843;191.973492659874
FR;2021-S03;67114995;141334;210.584832793327
FR;2021-S04;67114995;143727;214.15035492441
FR;2021-S05;67114995;139596;207.995247559804
FR;2021-S06;67114995;128192;191.0035156823
FR;2021-S07;67114995;139005;207.114669382006
